ID	description
45.1	The Block (Sydney), the first Aboriginal land handback
45.2	The Block at Orange, an open-air shopping and entertainment mall located in Southern California
45.3	The Block (Baltimore), an adult-entertainment area
45.4	The Block (Philippines), one of two annex buildings in SM City North EDSA located in North Avenue, Quezon City
45.5	A set of TV series of similar format:
45.6	The Block (album), the fifth studio album from the New Kids On The Block
45.7	The Block (American Football) - Jerry Kramer's block in the 1967 NFL Championship Game that led to the winning touchdown
45.8	Bloc Québécois, a Canadian political party often referred to as "The Bloc"
45.9	The wooden block used in the beheading of a condemned person with an axe
46.1	Stephen King is an American author.
46.2	Steve King (radio), American radio personality
46.3	Stephen King (conservationist), New Zealand conservationist
46.4	Steve King, U.S. Representative from Iowa
46.5	Steve King (Colorado legislator), Colorado state representative
46.6	Stephen King (soccer), American Major League Soccer player
46.7	Steve King (American football), American football player
46.8	Steve King (football manager), English football manager
46.9	Steven King (footballer), Australian football player
46.10	Steven King (ice hockey), American ice hockey player, born 1969
46.11	Steve King (ice hockey), Canadian ice hockey player, born 1948
46.12	Stephen King (paedophile), British convict
47.1	Soul food is a type of cuisine.
47.2	Soul Food (film)
47.3	Soul Food (TV series)
47.4	Soul Food (Def Jef album)
47.5	Soul Food (Goodie Mob album),
47.6	Soul Food (The Oblivians album)
48.1	"Cool Water" is a song written in 1936 by Bob Nolan
48.2	Cool Water is a famous perfume introduced in 1988 by Davidoff
48.3	Cool Water is the 1994 album released by Caravan.
49.1	Space Raiders, a European snack food.
49.2	Space Raiders (video game), a video game for the Nintendo GameCube and Sony PlayStation 2.
49.3	Space Raiders (band), a musical group from the United Kingdom.
49.4	Space Raiders (movie), a 1983 movie.
50.1	A gay bar is a drinking establishment that caters to an exclusively (or predominantly) gay, lesbian, bisexual, and transgender (LGBT) clientele
50.2	"Gay Bar" is a song written and performed by the Detroit-based rock band Electric Six
51.1	La Mancha is an arid, fertile, elevated plateau (610 m or 2000 ft.) of central Spain
51.2	La Mancha is a Spanish Denominación de Origen (DO) for wines
51.3	The LaMancha is a breed of milking goat
52.1	Robert Watts is a British film producer who is best known for his involvement with the Star Wars and Indiana Jones film series.
52.2	Robert Watts was an American artist best known for his work as a member of the international Avant-garde art movement Fluxus
53.1	A dive bomber is a bomber aircraft that dives directly at its targets in order to provide greater accuracy and limit the exposure of anti-aircraft fire.
53.2	Dive Bomber is a 1941 American propaganda film directed by Michael Curtiz.
53.3	Dive Bomber (known as Night Raider in Europe) is a computer game developed by Acme Animation in 1988 for the Atari ST, Amiga, Apple II, Commodore 64, ZX Spectrum and IBM micro and compatible systems.
54.1	A Manor house is a type of historical building.
54.2	Manor House, London a district on the border of the London Boroughs of Haringey and Hackney
54.3	Manor House tube station
54.4	Alford Manor House at Atford, Lincolnshire
54.5	Burton Agnes Manor House at Burton Agnes, Yorkshire
54.6	Boston Manor House in the London Borough of Hounslow
54.7	Chenies Manor House at Chenies, Buckinghamshire
54.8	Eastbury Manor House in London Borough of Barking and Dagenham
54.9	Manor House, 21 Soho Square
54.10	Manor House School, Raheny in Raheny , Dublin
54.11	Mitford Old Manor House in Mitford, Northumbria
54.12	Princes Risborough Manor House
54.13	The Manor House, a recording studio
54.14	Widcombe Manor House in Widcombe, Bath
54.15	Manor House (Chicago, Illinois)
54.16	The Edwardian Country House, a Channel 4 mini-series, shown on PBS as Manor House
55.1	The Indianapolis 500-Mile Race, a famous automobile race held since 1911
55.2	Indy 500 (video game), a 1978 Atari 2600 console game
55.3	Indianapolis 500: The Simulation, a 1989 PC, Amiga and Macintosh racing game
55.4	Indy 500 (arcade game), a 1995 Sega arcade game
55.5	Indy 500 (Nascar 2003), a 2002 PC racing game
55.6	"Indie 500," a song by The Wrens from their 1996 album Secaucus
55.7	"Indy 500" is a model of snowmobiles made by Polaris Industries
56.1	New England is a region of the north-eastern United States, comprising the states of Connecticut, Maine, Massachusetts, Rhode Island, New Hampshire, and Vermont.
56.2	New England (Australia), a loosely defined region of New South Wales, Australia
56.3	New England, North Dakota, a town in the United States
56.4	New England, Peterborough, an area of Peterborough, England
56.5	New England (medieval), an area on the north coast of the Black Sea said to have been colonised by Anglo-Saxons in the 11th century
